Joy,Surprise,Anger,Sadness,Fear,Disgust,Love,Trust,Anticipation
আরাধ্য,কুচকাওয়াজ,তাড়ানো,বাস্তুচ্যুত,ক্ষিপ্ত,অস্থিরতা,মহান,যুক্তিসঙ্গত,জুয়া
স্বাধীনতা,করতালি,বোমাবর্ষণ,দারিদ্র্য,নাশকতা,নেশাগ্রস্ত,প্রেমের,আশ্রয়স্থল,মগ্ন করা
চমক,অনুপ্রাণিত,অগ্নিসংযোগ,আশাহীন,প্রতিহিংসা,ঠগ,জোস,আশ্বস্ত,চেষ্টা
হেহেহ,গোপনীয়তা,প্রহার,অনুশোচনা,আর্সেনিক,বিপর্যয়,সুখ,ভাল,পরীক্ষা
হাসিখুশিতা,আকাঙ্ক্ষা,নৈরাজ্য,ছুরিকাঘাত,কোবরা,কসাই,কন্ঠ,অপ্রতিরোধ্য,উপভোগ
আশ্চর্য,বক,আত্মঘাতী,অমানব,কষ্টকর,টয়লেট,বিশ্ব,সৃষ্টিকর্তা,সম্পূর্ণ
অবাধে,মুকুট,ক্ষত,পাগলামি,সশস্ত্র,ফোস্ক,মঙ্গল,ধর্মগ্রন্থ,কোলাহল
সফল,প্রশংসনীয়,ঝুলন্ত,অশ্রু,বিভ্রান্ত,প্রতারক,সন্তানের,মহিমা,রাজকীয়
অনুপ্রাণিত,ছদ্মবেশিত,যোদ্ধা,বঞ্চিত,আততায়ী,শৌচাগার,পিতা,সুপারিশ,অতিক্রান্ত
আবেগ,সফল,নষ্ট,বন্দী,প্লেগ,অপরিষ্কার,টিম,অগ্রগতি,সমৃদ্ধ
শ্রদ্ধা,প্রশংসা,হানা,প্রতারণা,দূষিত,পর্নোগ্রাফি,আবদার,পরিশোধন,খনন
ধুমধাম,জোকার,বিচার,ক্ষতি,পলাতক,হয়রানি,ভালোবাসা,পৃষ্ঠপোষক,তৃষ্ণা
শান্তিপূর্ণভাবে,ঝকঝকে,উস্কানি,ক্ষতিকর,স্নায়বিক,আক্রমণাত্মক,মনমাতানো,মধ্যস্থতাকারী,প্রতিকার
বীরত্বপূর্ণ,বিনোদন,কলহ,করুণ,জাদুবিদ্যা,ভণ্ড,স্নেহ,নোটারি,ফসল
সর্বোচ্চ,অনুভূতি,ক্রীতদাস,উপেক্ষিত,কুম্ভীর,জোচ্চুরি,কাছাকাছি,শান্তি,ঝুঁকি
সংবেদনশীল,আশীর্বাদ,মানহানিকর,মহামারী,জোর,ধ্বংসাত্মক,প্রিয়জন,নির্মলতা,নিরাময়
মনোরম,নবাগত,চুরি,একা,মারপিট,ফুসকুড়ি,আনন্দ,প্রশ্নাতীত,স্বর্গীয়
বন্ধুত্বপূর্ণ,নায়ক,বঞ্চনা,অবিশ্বাস,জানোয়ার,অবাধ্যতা,মিলন,আলিঙ্গন,অনিশ্চিত
উচ্চাকাঙ্ক্ষা,মহিমান্বিত,ঝাঁকুনি,বরখাস্ত,অতর্কিত,জলাবদ্ধতা,মনযোগ,সন্ন্যাসী,অর্জনযোগ্য
ঝকঝকে,দক্ষতা,দোষী,বিচ্ছিন্নতা,বিপন্ন,ষড়যন্ত্রকার,প্রিয়তম,রক্ষিত,আশীর্বাদ
রসাত্মক,বিস্ময়করভাবে,অশান্তি,দণ্ডিত,লিউকেমিয়া,চাবুক,হৃদয়,সহায়ক,সমৃদ্ধি
সুপারস্টার,সেলিব্রিটি,সশব্দে,হাহাকার,নৈরাজ্যবাদ,অবজ্ঞা,আশীর্বাদ,শর্তহীন,উত্যক্ত
সার্থক,আশাবাদ,নিপীড়ক,বঞ্চনা,প্যারানয়েড,অগোছালো,উদ্দীপনা,অভিজ্ঞ,পরিকল্পনা
নববর্ষ,পবিত্র,দাসত্ব,নিষ্ক্রিয়,অ্যাগোরাফোবিয়া,থুতু,প্রণয়,নির্ভরশীল,প্রণয়ী
কোমলতা,অপরাজিত,অসহনীয়,মন্দ,ঘূর্ণিঝড়,জারজ,মোহনী,উদারতা,মহিমা
মাষ্টারপিস,অসাধারণ,তিক্তভাবে,কারাবাস,ঝগড়া,বিধ্বংসী,অনুরাগ,প্রশংসাসূচক,চূড়ান্ত
অনুগ্রহ,স্মরণীয়,বকাবকি,ছোট,নির্বাসিত,সর্প,অনুসরণ,নার্স,অস্থিরতা
বিশ্বস্ততা,ফেরেশতা,বিপ্লব,বিষ,রোগ,অশালীন,প্রাণপ্রিয়,উদার,অবশেষে
ঘনিষ্ঠতা,হাপ,ঠগ,পচনশীল,প্রতিকূল,চুরি,বন্ধুত্ব,ঋষি,অন্তরঙ্গ
ছুটি,সাধু,বিরক্তিকর,খারাপ,ফাঁসি,ভয়ানক,সম্প্রীতি,প্রশান্তি,লক্ষণ
অভিজাত,আলিঙ্গন,বৈষম্য,অনুভূতি,ক্রোধ,অত্যাচারী,আপনজন,পত্নী,ম্যাচমেকার
আত্মবিশ্বাস,স্বাধীনতা,বিতৃষ্ণা,অক্ষম,ধ্বংসপ্রাপ্ত,অপমান,প্রেমবন্ধন,পরোপকারী,জুয়াড়ি
উত্তোলিত,হাতছানি,কঠোরতা,বন্ধ্যা,ছিন্নভিন্ন,সাপ,সঙ্গী,শাসক,সম্ভাব্যভাবে
সুপ্রভাত,পরিপূর্ণতা,গালি,জল্লাদ,ছুরিকাঘাত,ক্ষতিকর,মহব্বত,প্রণয়ী,সাহস
উদ্যম,সন্তুষ্ট,তিক্ততা,বিষাক্ত,কম্পন,খারাপ,আদরের,মহৎ,সতর্ক
উপহার,উদারতা,হতাহত,রোগ,রিভলবার,শত্রু,নিখুঁত,ধার্মিক,রহস্যময়
বিস্ময়,অবশেষে,দুঃখজনক,চুরি,জঙ্গিরা,মদ্যপান,জুড়ানো,উত্তরাধিকার,প্রশংসা
বোনাস,অনুষ্ঠান,নরক,জেল,অন্ধকূপ,নির্মম,প্রাণপ্রেম,সঙ্গী,প্রেমিক
মুগ্ধ,বড়,আতঙ্ক,ভীষন,প্রাদুর্ভাব,বখাটে,সহৃদয়,সন্তুষ্ট,প্রকাশ
উত্সাহ,পদক,জোর,বাজে,ভাইপার,জানোয়ার,আকর্ষণ,সাংবিধানিক,জাদু
সৃষ্টিকর্তা,রোম্যান্স,বঞ্চিত,পোলিও,পোকা,যোগসাজশ,প্রেমবশ,সম্মতি,উচ্চ
নতুনভাবে,আমন্ত্রণ,অনৈতিক,ক্ষুব্ধ,ব্যাথা,উপহাস,আশির্বাদ,নির্মল,স্বাধীনতা
বিনামূল্যে,অভিবাদন,অপ্রতিরোধ্য,ঘৃণা,তাড়না,বৈষম্যমূলক,রঙ,উপভোগ,ধুমধাম
ত্রাণকর্তা,শ্রম,ভয়,পৈশাচিক,নিষ্পেষণ,অনাকর্ষণীয়,আনন্দবাজনা,মেধাবী,অমরত্ব
নাতি-নাতনি,ট্রিপ,মাতাল,কাঁদ,প্রেতাত্মা,অসহ্য,অনুগ্রহ,প্রতিনিধি,দ্রুত
সুস্থতা,তাকান,ঈর্ষা,বিলাপ,আতঙ্কজনক,আর্সেনিক,ভরানো,সাহায্যকারী,কুচকাওয়াজ
সঙ্গীত,ঝলক,মুখোমুখি,নিরানন্দ,পাগল,হুমকি,ঝলক,দেবদূত,মজা
উড্ডয়ন,কৌতুকপূর্ণ,অভ্যুত্থান,একাকী,নৃশংসতা,হত্যাকারী,আত্মীয়,পিতা,রক্ষক
জীবিত,মগ্ন,আগুন,কাপুরুষতা,জনশূন্যতা,অরুচি,প্রাণবন্ত,সমষ্টিগতভাবে,ট্রফি
টাকা,মধুচন্দ্রিমা,লুটপাট,দুঃখিত,অতিমারী,কাপুরুষ,উদার,নিরপেক্ষতা,কেনাকাটা
প্রশান্তিদায়ক,অপেরা,অপরাধ,মারধর,আগ্নেয়গিরি,ডাকাতি,সতীর্থ,বিচারক,পরিত্রাণ
নির্মল,আনন্দদায়ক,বিতর্কিত,অক্ষমতা,নিষ্ঠুরভাবে,দুষ্টতা,প্রিয়মুখী,আশ্রয়,অনুভূতি
পবিত্রতা,বিবাহ,প্রতিবাদী,বন্ধ্যাত্ব,জেনোফোবিয়া,লুটপাট,অনুভূতি,প্রশ্নবিহীন,অনুমানমূলক
অনুপ্রেরণামূলক,পবিত্রতা,কসাই,জরুরী,টাইফুন,শ্বাসরুদ্ধকর,আদরপ্রদান,মান্য,ওরাকল
জীবনীশক্তি,ছন্দময়,রিভলবার,আঘাতপ্রাপ্ত,মাকড়সা,নিন্দা,সহানুভূতি,অকাট্য,বীরত্ব
আত্মবিশ্বাসী,ট্রফি,বন্দুক,শক্তিহীন,উদ্বেগজনক,গালি,প্রিয়তমী,পূজা,আঁকড়ে
রংধনু,মিছিল,অগোছালো,অসমতা,নিপীড়ক,আক্রমণ,আনন্দে,পুনরুজ্জীবন,অস্বস্তি
মুক্তি,কেনাকাটা,ধর্মনিন্দা,কাফন,নিষ্ঠুর,রাক্ষস,প্রাণসঙ্গী,কর্তব্যপরায়ণ,কৌতূহল
মার্জিত,বাদ্যযন্ত্র,বিশৃঙ্খল,চিন্তা,কোমা,জবরদস্তি,সৌভাগ্যবতী,প্রহরী,সুখী
আয়ত্ত,ভাল,বিচ্ছিন্নতা,বিপদজনক,স্ট্রোক,তিক্তভাবে,হৃদয়মুখী,স্বেচ্ছাসেবক,প্রেম
ঝলক,ভোর,ঝামেলা,ডুব,গণ্ডগোল,ঈর্ষান্বিত,অনুপ্রেরণা,নিষ্পাপ,সুন্দর
আলোকসজ্জা,শেল,বিরোধ,ব্যর্থ,ভয়ে,মাতাল,মনমত,প্রশ্নাতীতভাবে,হত্তয়া
পুষ্প,নৈতিকতা,উপহাস,আতঙ্কজনক,যুদ্ধক্ষেত্র,মারধর,অনুপম,সময়নিষ্ঠ,ঝলক
উষ্ণতা,টাকা,মৃত্যু,সমাপ্তি,ইমেটোফোবিয়া,মোটা,প্রেমলিপি,চিরস্থায়ী,প্রাচুর্য
স্বাগত,মিষ্টি,পাগলামি,পাপী,অস্ত্র,মিথ্যাবাদী,স্নেহময়,স্বর্গীয়,ফলে
বিশ্বস্ত,মূল্যবান,কলঙ্কজনক,ভারসাম্যপূর্ণ,তুষারঝড়,বন্দী,প্রাণবন্ধু,পরীক্ষিত,পরিবর্তনযোগ্য
খ্যাতি,স্নাতক,দানব,ছিন্নভিন্ন,ধমক,আলস্য,আনন্দময়,বংশ,অভিন্নতা
ভাই,পূর্বাভাস,অন্যায়,অসহায়,স্বৈরাচারী,প্রত্যাখ্যান,প্রণয়ভরা,অধ্যক্ষ,প্রচুর
অভিনব,সুন্দর,ফাঁসি,মরণোত্তর,সীমালঙ্ঘন,অসম্মান,প্রিয়তমকে,সহযোগী,আর্থিক
শক্তিশালীকরণ,তৃষ্ণা,অসহিষ্ণু,নিখোঁজ,নির্মম,অবিশ্বাস,আনন্দধারা,দ্ব্যর্থহীন,যাদুবিদ্যা
গর্ব,মুখ,অনাচার,শেষ,অবাধ্যতা,প্রাণঘাতী,অনুপ্রেরিত,ম্যাট্রন,শঙ্কিত
সর্বশক্তিমান,সূর্য,জন্তু,ক্ষত,শাস্তি,পোড়া,আদরপ্রদ,অন্তর্দৃষ্টি,ক্ষুধার্ত
ক্ষমতাশালী,শিল্প,অপবাদ,অবনতি,তেজস্ক্রিয়,ঝগড়া,সহচর,স্বীকার,ভোট
উল্লেখযোগ্য,সুপ্ত,প্রতারিত,অপব্যবহার,প্রক্ষিপ্ত,শুকিয়ে,প্রেমবিন্দু,বিষয়বস্তু,সন্দেহজনক
অভিবাদন,ওভারডিউ,ঠাট্টা,অবাঞ্ছিত,চাবুক,পাচারকারী,আনন্দধ্বনি,ধর্মসভা,প্রার্থনা
রাজ্যাভিষেক,আশা,ক্রস,অত্যাচারী,মুক্তিপণ,বেদনাদায়ক,আত্মপ্রণয়,দাগহীন,শিকার
সম্পূর্ণ,গন্তব্য,বিদ্রুপ,তিক্তভাবে,র‍্যাটলস্নেক,অসহিষ্ণু,ঈশ্বরপ্রেম,ধর্মপ্রাণ,কামুক
চকচকে,শিশু,ঝাঁঝরি,পুরুষত্বহীনতা,কাঁপছে,নিন্দাজনক,একসাথে,প্রশান্তিদায়ক,ঝড়
আরাম,ডলফিন,বিধ্বংসী,আত্মাহীন,সংঘর্ষ,ঝুলন্ত,ঐশ্বর্য্যপূর্ণ,প্রেম,নিলাম
অবসর,রোদ,বিপদে,বিবাহবিচ্ছেদ,প্রবল,অনুপ্রবেশকারী,খুশির,জুরি,ব্যালট
পুনর্মিলন,শান্তিপূর্ণ,ছিন্নভিন্ন,শ্মশান,রাগিং,স্নায়বিক,চঞ্চল,প্রাসঙ্গিক,নাতি-নাতনি
বাচ্চা,স্পা,ইডিয়টস,উদ্বিগ্ন,আতঙ্কগ্রস্ত,ক্ষুব্ধ,চঞ্চলতা,সঙ্গতি,উন্মাদনা
নতুন,চড়ুইভাতি,চোর,বোমা,জঘন্যভাবে,অসহিষ্ণুতা,ছুঁয়ে,সাধুবাদ,বিনোদন
বেতন,চমৎকার,দখল,বিষাদ,বিপদজনক,উপপত্নী,নম্র,ধৈর্য,একত্রিত
দিবস,চমক,অভিযোগ,দোষী,দণ্ডিত,লোভ,পূর্ণতা,মধ্যস্থতা,অতিক্রম
পারিবারিক,সত্যি,ব্ল্যাকমেইল,পরাজয়,দাবানল,অপমানিত,প্রাণপ্রতিষ্ঠা,কোচ,সত্যায়ন
সম্পর্ক,অবাক,হতাশ,কদর্যতা,বখাটে,অবমাননা,প্রাণে,অন্তর্ভুক্তি,অনুগ্রহ
ধার্মিক,হতভম্ব,লঙ্ঘন,অপমানজনক,সর্প,কষ্টকর,প্রিয়মুখে,ধ্যান,উদ্বেগজনক
পত্নী,সাহস,আবদ্ধ,নিষ্ঠুর,আগুন,দুর্গন্ধ,প্রেমপাত্র,সমবেত,কন্টিনজেন্ট
অন্তরঙ্গভাবে,বাঘ,দুর্দশা,অবিশ্বাসী,ক্ষয়কারী,কাঁপানো,সাগর,নিরীক্ষক,আশ্রয়দাতা
সম্মান,কন্ঠে,অসমতা,মূল্যহীন,নার্ভাসনেস,শকুন,সূচনা,নিরপেক্ষ,মহৎ
চিন্তামুক্ত,পুলিশ,অযৌক্তিক,ছাঁটা,প্রতিহিংসাপরায়ণ,শোচনীয়,প্রেমী,বিচক্ষণতা,কুমারীত্ব
প্রকৃতি,ভিউ,পাপ,আহত,নিউমোনিয়া,দোষী,বাগান,দূরদর্শিত,গোপন
রিফ্রেশ,গল্প,তীক্ষ্ণ,লজ্জাজনক,পাচারকারী,বিরক্তিকর,বেড়ানো,উপাসনা,আপিল
পরিবার,নায়ক,অন্ধকার,গোর,কারাগার,ভয়ঙ্করভাবে,কোমলতা,ধ্রুবক,গঠন
মেধাবী,পাগল,অবাধ্য,অবমাননাকর,বিদ্বেষ,মূল্যহীন,মায়া,অ্যাম্বুলেন্স,কৃতিত্ব
মাতৃত্ব,ক্ষমতা,আগ্নেয়াস্ত্র,অপূরণীয়,দুষ্ট,অশোধিত,স্নিগ্ধতা,মহানতা,উল্লাস
দাতব্য,ওমা,যথেষ্ট,দেউলিয়া,বিকৃত,প্রলাপ,মগ্ন,নবী,প্রতিক্রিয়াশীল
আমন্ত্রণ,আগুন,কুসংস্কার,ভয়ে,অমানবিক,নিরাময়যোগ্য,মধুর,প্রত্যক্ষদর্শী,বিবাহিত
শিশু,দুজন,উত্তপ্ত,মদ্যপান,ভ্যাম্পায়ার,গন্ধ,মনখুলে,টেকসই,উৎখাত
মর্যাদা,বাপ,ষড়যন্ত্রকারী,শিকল,ভূমিধস,বিরক্তি,বাঁশি,বিচক্ষণ,আত্মা
স্মরণীয়,লাখ,প্রতিপক্ষ,স্তব্ধ,অগ্নিসংযোগকারী,বোমা,ময়না,সিকিউরিটিজ,ভয়
সত্যতা,গ্রামের,ফাউল,জীর্ণ,বজ্রপাত,সিজোফ্রেনিয়া,রঙিন,বন্ধুত্বপূর্ণ,দর্শনার্থী
সুস্থ,বাঘের,বকবক,বলিদান,হতবাক,কষ্ট,রোমান্টিক,কমান্ডিং,পুনরায়
হীরা,শট,ডাকাতি,নিষ্পেষণ,অশান্ত,কীটপতঙ্গ,শুভকাঙ্ক্ষী,সমঝোতা,ঘড়ি
সৈকত,উদ্ঘাটন,প্রতিরোধ,অধীনতা,যুদ্ধমূলক,নির্বাসিত,স্বচ্ছ,ঐতিহ্য,শিকারী
সম্পন্ন,অত্যাশ্চর্য,অসংলগ্ন,অভিভূত,বিদ্রোহী,কাদা,স্বতন্ত্র,রেজিস্ট্রি,তেজ
স্বাস্থ্য,বিভ্রান্তি,প্রতিবন্ধক,ডাকাতি,পাগলামি,চিৎকার,হৃদয়ে,ক্ষমা,অঙ্কুরোদগম
মুকুট,অস্বস্তি,থাম,রাগ,শত্রু,ঈর্ষা,পুরস্কার,পৈতৃক,প্রতিযোগিতা
আকাঙ্ক্ষা,হামলা,খারাপতা,গর্জন,কামান,ঘুষ,অকৃত্রিম,প্রতিষেধক,প্রস্তুতিমূলক
বিশেষাধিকারপ্রাপ্ত,ফাঁদ,দুইমুখী,পতন,ব্ল্যাকমেইল,বিতর্ক,কিউট,নিখুঁত,প্রগনোস্টিক
প্রতিপত্তি,চার্জ,বেপরোয়া,কারাগার,অন্ধকার,অভিশংসন,কোমল,সতীত্ব,বিমিং
আকর্ষক,ফাঁদে,পক্ষপাতমূলক,বিশৃঙ্খলা,পরিত্যাগ,তিক্ততা,ঝলমলে,স্থাবর,প্রফুল্ল
অনুগত,উড়িয়ে,লাগামহীন,অস্থির,জিজ্ঞাসাবাদ,নিষিদ্ধ,মোহনীয়,নির্দেশাবলী,বিরাজ
বিবাহিত,গোলমাল,অধঃপতন,ভেঙ্গে,স্বৈরাচার,অপবিত্রতা,ফাইন,ইনস্টিটিউট,গুরুত্ব
অতিক্রান্ত,ভাইরেভাই ,বিতর্ক,লঙ্ঘন,বিচ্ছিন্ন,বোকা,স্পর্শযোগ্য,বাধ্য,বিজ্ঞপ্তি
মুখরোচক,ওমাগো,বিকৃতি,উচ্ছেদ,রাগ,অজ্ঞান,অতুলনীয়,স্পষ্ট,বিস্ফোরক
শুভদিন,ঠাডা,স্বৈরাচারী,হারানো,নির্দয়,ডাকাত,লালিত,স্মরণীয়,শেষ
ইচ্ছা,ঘূর্ণিঝড়,অসঙ্গতি,লজ্জা,শোচনীয়,ধ্বংসাবশেষ,পারফেক্ট,হাসপাতাল,পর্যন্ত
স্বপ্ন,সারপ্রাইজ,মোকাবিলা,প্রতিহিংসা,কসাই,মন্দা,মন্ত্রমুগ্ধকর,উদ্ধার,শিশু
ট্রফি,কোপ,ধর্মত্যাগী,শাহাদাত,মারধর,ঘাট,দীপ্তিমান,দলিল,নবী
তোড়া,,গরম,অসংলগ্ন,বিচার,রাগিং,প্রেমময়,টিকাদান,বর্তমান
চকোলেট,,আত্মহত্যা,অপরাধী,ম্যালেরিয়া,মেস,চিত্তাকর্ষক,অকপট,সময়
সৃজনশীলতা,,হীনতা,আকাঙ্ক্ষা,আগ্রাসন,দুঃখ,আনন্দদায়ক,সত্যই,কামুকতা
স্মারক,,অসৎ,বন্দিত্ব,ইনজেকশন,শত্রুতা,স্বপ্নময়,অবিচ্ছেদ্য,বকেয়া
বুদ্ধিমত্তা,,অবিশ্বাস,রাক্ষস,ছোরা,পদদলিত,বিস্ময়কর,স্বর্গ,তাঁত
নববধূ,,সমালোচনা,আমাশয়,শিশুহত্যা,স্বজনপ্রীতি,স্বর্গ,বিদ্যালয়,বেতন
উত্সাহী,,কষ্টকর,ফেটে,শিকল,মানহানি,গর্জিয়াস,ভ্রাতৃত্বপূর্ণ,সেলিব্রিটি
উত্তরাধিকার,,বন্দী,বিশ্বাসঘাতক,আগ্নেয়াস্ত্র,অমার্জনীয়,আবেগপ্রবণ,সীল,চিকিত্সা
সুড়সুড়ি,,বিবাহবিচ্ছেদ,হট্টগোল,অভিযান,অপচয়কারী,ফ্যান্টাস্টিক,সন্দেহাতীত,চকোলেট
শান্ত,,শিকার,মিথ্যা,উচ্ছেদ,অধীনতা,মোহিত,নববধূ,গাঁজন
অ্যাডভেঞ্চার,,নির্দয়,কলেরা,ভিলেন,অবৈধতা,রূপকথা,ধর্মগুরু,অনিয়ন্ত্রিত
প্রদান,,জবরদস্তি,অস্বীকৃত,যুদ্ধরত,হতাশাজনক,ছেলেবন্ধু,আরাধনা,মূল্যবান
বিশ্রাম,,দুর্বৃত্ত,ভয়ানক,ধাক্কা,অপ্রীতিকর,সুদর্শন,মধুচন্দ্রিমা,ক্ষতিপূরণ
লক্ষ্য,,বিশৃঙ্খলা,ধমক,গোলাগুলি,পক্ষাঘাত,অর্ধাঙ্গিনী,উপকারী,বিপন্ন
প্রার্থনা,,ক্ষতি,তিক্ততা,আবিষ্ট,যত্নহীন,মায়াবী,স্নাতক,সংস্কার
বর,,প্রত্যাখ্যান,অধঃপতন,খলনায়ক,অনৈতিকতা,সহানুভূতিশীল,সঠিকতা,বোঝানো
আন্তরিকভাবে,,নির্বাসিত,অনৈতিক,অশুভ,অত্যাচার,আকুল,ক্ষমতাশালী,পূর্বশর্ত
দীপ্তি,,বিকৃত,বৈষম্য,দোষী,কাশি,সুদৃশ্য,কমনওয়েলথ,চাষ করা
বন্ধন,,হাতুড়ি,শয়তান,কার্ডিওমায়োপ্যাথি,অহংকারী,উজ্জ্বল,অ্যাকাউন্ট,বিকাশ
রাজকুমারী,,অস্বীকার,হতাশাবাদ,চোর,রাগান্বিত,মধু,অভিধান,সংকেত
নান্দনিকতা,,লড়াই,প্রলাপ,ব্যথা,উত্তেজনা,প্রণয়ী,প্রসূতি,ক্রান্তিকালীন
বাতাস,,বিভ্রান্তিকর,অপছন্দ,ভাগা,নির্বাসন,রানি,সংঘ,স্মারক
অনুষ্ঠান,,বাধা,ঘৃণ্য,প্রতারণা,ক্ষিপ্ত,পুতুল,ক্রেডিট,বিরতি
আত্মীয়,,আবিষ্ট,ব্যভিচার,ড্রাগন,মাকড়সা,ডার্লিং,গঠনমূলক,উচ্চতা
মননশীলতা,,অবিচার,ময়নাতদন্ত,ভয়ানক,অযৌক্তিক,ফেরেশতা,প্রার্থনা,অনুশীলন
বৃত্তি,,বর্শা,মর্মাহত,কুয়াশা,কর্দমাক্ত,ভক্তি,চিরস্থায়ীতা,মনন
মোহন,,অগ্নিপরীক্ষা,চাবুক,ক্লেশ,প্রতারণামূলক,আকুলতা,সংগঠন,ভয়ঙ্কর
অনুমোদন,,পরিত্যাগ,বিরক্তি,গবলিন,বেপরোয়া,আনুগত্য,প্রধান,মরুভূমি
দৃশ্যাবলী,,অবমাননা,প্রত্যাখ্যান,প্যারানয়া,কলঙ্ক,স্বাদ,পৃষ্ঠপোষকতা,দিগন্ত
জলপ্রপাত,,উন্মাদ,অত্যাচার,অবিশ্বাসী,ক্ষতি,ঘনিষ্ঠতা,দার্শনিক,লুকোচুরি
বিশ্বাস,,দমন,উদ্বেগজনক,লাভা,অসৎ,উষ্ণতা,নীতি,চড়াই
জন্ম,,নির্লজ্জ,পলায়ন,শত্রুতা,স্বার্থপর,প্রশংসক,অক্ষত,কুকুরছানা
ক্ষমা,,ফেনা,শাস্তিমূলক,অবরোধ,পরিত্যাগ,সুন্দরী,অতুলনীয়,চোখবাঁধা
যাত্রা,,ব্যাহত,হতাশাবাদী,ঘুষি,ক্ষোভ,রোমিও,চিকিৎসা,লাগামহীন
সপ্তাহান্তে,,বোকা,দরিদ্র,ব্যাকটেরিয়া,বিদ্বেষ,ভ্যালেন্টাইন,কনস্টেবল,রাশিফল
ন্যায়পরায়ণতা,,পাপী,বাত,কাঁপানো,বিচ্ছিন্ন,জুলিয়েট,ক্ষমাশীল,বিমানবন্দর
স্বামী,,নখর,প্রতারক,অতল,মশা,উপাসনা,সহনশীলতা,ওকালতি
ত্রাণ,,প্রত্যাহার,চলে,টালমাটাল,গাদা,মহিমান্বিত,পুরোহিত,মামলা
শক্তি,,পাচারকারী,শহীদ,চুরি,ধার্মিক,সখি,প্রতিজ্ঞা,রোদ
শক্তিশালী,,বাতিল,প্লেগ,ভূতুড়ে,মিথ্যা,মধুময়,গৃহিণী,স্বজ্ঞাতভাবে
অপরাজিত,,অজাচার,ভিন্ন,খালি,আফিম,মধুরিমা,গ্রহণযোগ্য,নায়ক
আগ্রহী,,অননুমোদিত,গুলি,জেল,অন্যায়,প্রেমধারায়,সার্বভৌম,প্রবল
জীবন,,অমানবিক,ম্যালেরিয়া,কাপুরুষ,হতাশা,আনন্দপূর্ণ,প্রিয়তম,স্মরণ
শীতকালীন,,সংযত,পদত্যাগ,অস্থিরতা,শূন্য,প্রশংসা,পাসওয়ার্ড,রোমান্টিক
উষ্ণ,,প্রতারণা,বোমারু,অস্ত্রোপচার,দেউলিয়াত্ব,উপভোগ,মতবাদ,কেয়ামত
অগ্রসর,,আপত্তিকর,কৃপা,নিষেধ,আপত্তিকর,লালন,ক্ষমাপ্রার্থী,প্রস্তুত
একতা,,দোষ,ঝুলন্ত,ব্যর্থতা,আঠালো,পূজা,পোপ,নবজাতক
স্বাস্থ্যকর,,বিচারপ্রার্থী,অনুপস্থিতি,পৃথকীকরণ,গৃহহীন,স্মরণ,অমৃত,প্রস্থান
পদক,,প্রতিদ্বন্দ্বিতা,অপূর্ণ,অপসারিত,অস্বাভাবিক,আদর্শ,সত্যায়ন,অপ্রকাশিত
অতুলনীয,,চোষা,মোহভঙ্গ,পরজীবী,অভিশাপ,পোষা,গুরু,উপস্থিতি
শুরু,,অসম্মান,অস্থিরতা,শঙ্কিত,অবাঞ্ছিত,দোলনা,গির্জা,বিপদ
স্নাতক,,হাঙ্গামা,নিরুৎসাহিত,ঘৃণ্য,নির্লজ্জ,আরাধনা,অবদানকারী,আয়
সহায়ক,,অকৃতজ্ঞ,নির্দয়,আবদ্ধ,বিচ্ছিন্নতাবাদী,স্ত্রী,নাতি-নাতনি,উদ্যম
বাদ্যযন্ত্র,,জিম্মি,আত্মসমর্পণ,কণ্ঠনালীপ্রদাহ,চালাকি,মিঠাই,প্রবাদ,অনুকূল
নিরাপদ,,অপসারিত,জঘন্য,ভিড়,অবিশ্বাস্য,নববধূ,আম্পায়ার,ইউটোপিয়ান
প্রতিশ্রুতি,,বিপর্যয,অপরাধ,লুটপাট,নাশক,,ধর্ম,সাঁতার
মা,,ঈর্ষান্বিত,কাতরানো,ক্ষত,লোমশ,,মুখপাত্র,চলমান
পরিত্রাণ,,প্রতিকূলতা,অন্ধকার,জোরপূর্বক,নিকোটিন,,সহকর্মী,ঘটনাচক্র
কবিতা,,অবিশ্বাসী,দুর্বলভাবে,কাপুরুষতা,পতন,,কর্নেল,শুভদিন
নিষ্পাপ,,অভিযুক্,ধরা,আধিপত্য,অপরিচ্ছন্ন,,পূর্বাভাস,উদ্যোগ
শুদ্ধ,,অস্ত্র,অসন্তুষ্টি,পাচার,হিংস্র,,স্নেহ,উন্নতি
উদ্বোধন,,অপছন্দ,হানা,মুখোশ,অপবিত্র,,পুলিশ,উদ্বোধন
অ্যারোমাথেরাপি,,দমবন্ধ,অপসারিত,ঝাঁকুনি,বিতর্কিত,,দেশবাসী,দৃষ্টিকোণ
হালকা,,কষ্ট,বিব্রত,শিকারী,কলঙ্কিত,,সালিস,প্রতিরক্ষা
ভ্রমণ,,স্বার্থপর,শত্রু,ফাঁকি,খারাপতা,,বিশুদ্ধভাবে,শোধ
নগদ,,আপত্তি,অনুরোধ,ধরা,স্বাদহীন,,অনুসরণ,ফাঁক
সহচর,,দগ্ধ,বিতৃষ্ণা,পোলিও,অসততা,,ধর্মোপদেশ,যৌবন
সুবিধাজনক,,ভাঙ্গন,আবদ্ধ,অপমানজনক,স্থানচ্যুতি,,সংসদ,প্যারোল
দানশীলতা,,অসহিষ্ণুতা,আক্রমণ,হানা,টক,,যাজক,চিন্তা
